2016-12-26 23:21:44,314 |OFBiz-config-2       |DatabaseUtil                  |I| - scroll insensitive type   [true]
2016-12-26 23:21:44,316 |OFBiz-config-2       |DatabaseUtil                  |I| - is case sensitive         [false]
2016-12-26 23:21:44,316 |OFBiz-config-2       |DatabaseUtil                  |I| - stores LowerCase          [true]
2016-12-26 23:21:44,316 |OFBiz-config-2       |DatabaseUtil                  |I| - stores MixedCase          [false]
2016-12-26 23:21:44,317 |OFBiz-config-2       |DatabaseUtil                  |I| - stores UpperCase          [false]
2016-12-26 23:21:44,326 |OFBiz-config-2       |DatabaseUtil                  |I| - max table name length     [63]
2016-12-26 23:21:44,326 |OFBiz-config-2       |DatabaseUtil                  |I| - max column name length    [63]
2016-12-26 23:21:44,327 |OFBiz-config-2       |DatabaseUtil                  |I| - concurrent connections    [8192]
2016-12-26 23:21:44,327 |OFBiz-config-2       |DatabaseUtil                  |I| - concurrent statements     [0]
2016-12-26 23:21:44,327 |OFBiz-config-2       |DatabaseUtil                  |I| - ANSI SQL92 Entry          [true]
2016-12-26 23:21:44,327 |OFBiz-config-2       |DatabaseUtil                  |I| - ANSI SQL92 Intermediate   [false]
2016-12-26 23:21:44,328 |OFBiz-config-2       |DatabaseUtil                  |I| - ANSI SQL92 Full           [false]
2016-12-26 23:21:44,328 |OFBiz-config-2       |DatabaseUtil                  |I| - ODBC SQL Grammar Core     [false]
2016-12-26 23:21:44,328 |OFBiz-config-2       |DatabaseUtil                  |I| - ODBC SQL Grammar Extended [false]
2016-12-26 23:21:44,329 |OFBiz-config-2       |DatabaseUtil                  |I| - ODBC SQL Grammar Minimum  [true]
2016-12-26 23:21:44,329 |OFBiz-config-2       |DatabaseUtil                  |I| - outer joins               [true]*
2016-12-26 23:21:44,329 |OFBiz-config-2       |DatabaseUtil                  |I| - limited outer joins       [true]
2016-12-26 23:21:44,329 |OFBiz-config-2       |DatabaseUtil                  |I| - full outer joins          [true]
2016-12-26 23:21:44,329 |OFBiz-config-2       |DatabaseUtil                  |I| - group by                  [true]*
2016-12-26 23:21:44,330 |OFBiz-config-2       |DatabaseUtil                  |I| - group by not in select    [true]
2016-12-26 23:21:44,330 |OFBiz-config-2       |DatabaseUtil                  |I| - column aliasing           [true]
2016-12-26 23:21:44,330 |OFBiz-config-2       |DatabaseUtil                  |I| - order by not in select    [true]
2016-12-26 23:21:44,331 |OFBiz-config-2       |DatabaseUtil                  |I| - alter table add column    [true]*
2016-12-26 23:21:44,332 |OFBiz-config-2       |DatabaseUtil                  |I| - non-nullable column       [true]*
2016-12-26 23:21:44,335 |OFBiz-config-2       |DatabaseUtil                  |I| - default fetchsize        [0]
2016-12-26 23:21:44,335 |OFBiz-config-2       |DatabaseUtil                  |I| - named parameters         [ SKIPPED ]
2016-12-26 23:21:44,335 |OFBiz-config-2       |DatabaseUtil                  |I| Getting Table Info From Database
2016-12-26 23:21:44,385 |OFBiz-config-2       |DatabaseUtil                  |I| Getting Column Info From Database
2016-12-26 23:21:45,685 |OFBiz-config-2       |DatabaseUtil                  |I| Reviewed 1634 primary key fields from database.
2016-12-26 23:21:45,827 |main                 |ServiceDispatcher             |I| [ServiceDispatcher] : Creating new instance.
2016-12-26 23:21:46,024 |main                 |ServiceGroupReader            |I| Loaded [  1] Group definitions from file:/C:/Users/Windows/git/IMSProject/IMS/framework/common/servicedef/groups_test.xml
2016-12-26 23:21:46,033 |main                 |ServiceGroupReader            |I| Loaded [  4] Group definitions from file:/C:/Users/Windows/git/IMSProject/IMS/framework/entityext/servicedef/groups.xml
2016-12-26 23:21:46,044 |main                 |ServiceGroupReader            |I| Loaded [  2] Group definitions from file:/C:/Users/Windows/git/IMSProject/IMS/applications/workeffort/servicedef/service_groups.xml
2016-12-26 23:21:46,057 |main                 |ServiceGroupReader            |I| Loaded [  4] Group definitions from file:/C:/Users/Windows/git/IMSProject/IMS/applications/accounting/servicedef/groups.xml
2016-12-26 23:21:46,120 |OFBiz-config-0       |ServiceEcaUtil                |I| Loaded [  0] Service ECA Rules from file:/C:/Users/Windows/git/IMSProject/IMS/framework/common/servicedef/secas_cdyne.xml
2016-12-26 23:21:46,167 |OFBiz-config-1       |ServiceEcaUtil                |I| Loaded [  4] Service ECA Rules from file:/C:/Users/Windows/git/IMSProject/IMS/framework/common/servicedef/secas_test.xml
2016-12-26 23:21:46,168 |OFBiz-config-3       |ServiceEcaUtil                |I| Loaded [ 22] Service ECA Rules from file:/C:/Users/Windows/git/IMSProject/IMS/applications/party/servicedef/secas.xml
2016-12-26 23:21:46,195 |OFBiz-config-1       |ServiceEcaUtil                |I| Loaded [ 10] Service ECA Rules from file:/C:/Users/Windows/git/IMSProject/IMS/applications/workeffort/servicedef/secas.xml
2016-12-26 23:21:46,200 |OFBiz-config-2       |ServiceEcaUtil                |I| Loaded [  3] Service ECA Rules from file:/C:/Users/Windows/git/IMSProject/IMS/framework/service/servicedef/secas_test_se.xml
2016-12-26 23:21:46,213 |OFBiz-config-2       |ServiceEcaUtil                |I| Loaded [  2] Service ECA Rules from file:/C:/Users/Windows/git/IMSProject/IMS/applications/product/servicedef/secas_olap.xml
2016-12-26 23:21:46,225 |OFBiz-config-0       |ServiceEcaUtil                |I| Loaded [ 28] Service ECA Rules from file:/C:/Users/Windows/git/IMSProject/IMS/applications/content/servicedef/secas.xml
2016-12-26 23:21:46,266 |OFBiz-config-0       |ServiceEcaUtil                |I| Loaded [ 21] Service ECA Rules from file:/C:/Users/Windows/git/IMSProject/IMS/applications/accounting/servicedef/secas.xml
2016-12-26 23:21:46,279 |OFBiz-config-3       |ServiceEcaUtil                |I| Loaded [ 24] Service ECA Rules from file:/C:/Users/Windows/git/IMSProject/IMS/applications/product/servicedef/secas.xml
2016-12-26 23:21:46,334 |OFBiz-config-2       |ServiceEcaUtil                |I| Loaded [  4] Service ECA Rules from file:/C:/Users/Windows/git/IMSProject/IMS/applications/manufacturing/servicedef/secas.xml
2016-12-26 23:21:46,346 |OFBiz-config-1       |ServiceEcaUtil                |I| Loaded [ 23] Service ECA Rules from file:/C:/Users/Windows/git/IMSProject/IMS/applications/product/servicedef/secas_shipment.xml
2016-12-26 23:21:46,355 |OFBiz-config-2       |ServiceEcaUtil                |I| Loaded [  1] Service ECA Rules from file:/C:/Users/Windows/git/IMSProject/IMS/applications/accounting/servicedef/secas_olap.xml
2016-12-26 23:21:46,370 |OFBiz-config-1       |ServiceEcaUtil                |I| Loaded [  6] Service ECA Rules from file:/C:/Users/Windows/git/IMSProject/IMS/applications/accounting/servicedef/secas_invoice.xml
2016-12-26 23:21:46,385 |OFBiz-config-3       |ServiceEcaUtil                |I| Loaded [ 22] Service ECA Rules from file:/C:/Users/Windows/git/IMSProject/IMS/applications/accounting/servicedef/secas_ledger.xml
2016-12-26 23:21:46,407 |OFBiz-config-3       |ServiceEcaUtil                |I| Loaded [  0] Service ECA Rules from file:/C:/Users/Windows/git/IMSProject/IMS/applications/commonext/servicedef/secas.xml
2016-12-26 23:21:46,409 |OFBiz-config-0       |ServiceEcaUtil                |I| Loaded [  8] Service ECA Rules from file:/C:/Users/Windows/git/IMSProject/IMS/applications/accounting/servicedef/secas_payment.xml
2016-12-26 23:21:46,467 |OFBiz-config-2       |ServiceEcaUtil                |I| Loaded [ 77] Service ECA Rules from file:/C:/Users/Windows/git/IMSProject/IMS/applications/order/servicedef/secas.xml
2016-12-26 23:21:46,476 |OFBiz-config-1       |ServiceEcaUtil                |I| Loaded [ 10] Service ECA Rules from file:/C:/Users/Windows/git/IMSProject/IMS/applications/marketing/servicedef/secas.xml
2016-12-26 23:21:47,009 |OFBiz-config-1       |ModelServiceReader            |I| Loaded [  2] Services from file:/C:/Users/Windows/git/IMSProject/IMS/framework/common/servicedef/services_olap.xml
2016-12-26 23:21:47,043 |OFBiz-config-0       |ModelServiceReader            |I| Loaded [  2] Services from file:/C:/Users/Windows/git/IMSProject/IMS/framework/common/servicedef/services_cdyne.xml
2016-12-26 23:21:47,062 |OFBiz-config-1       |ModelServiceReader            |I| Loaded [ 13] Services from file:/C:/Users/Windows/git/IMSProject/IMS/framework/common/servicedef/services_security.xml
2016-12-26 23:21:47,071 |OFBiz-config-2       |ModelServiceReader            |I| Loaded [ 15] Services from file:/C:/Users/Windows/git/IMSProject/IMS/framework/common/servicedef/services_email.xml
2016-12-26 23:21:47,101 |OFBiz-config-2       |ModelServiceReader            |I| Loaded [ 18] Services from file:/C:/Users/Windows/git/IMSProject/IMS/framework/service/servicedef/services_test_se.xml
2016-12-26 23:21:47,136 |OFBiz-config-1       |ModelServiceReader            |I| Loaded [ 11] Services from file:/C:/Users/Windows/git/IMSProject/IMS/framework/service/servicedef/services.xml
2016-12-26 23:21:47,152 |OFBiz-config-3       |ModelServiceReader            |I| Loaded [ 99] Services from file:/C:/Users/Windows/git/IMSProject/IMS/framework/common/servicedef/services.xml
2016-12-26 23:21:47,154 |OFBiz-config-2       |ModelServiceReader            |I| Loaded [ 41] Services from file:/C:/Users/Windows/git/IMSProject/IMS/framework/entityext/servicedef/services.xml
2016-12-26 23:21:47,176 |OFBiz-config-3       |ModelServiceReader            |I| Loaded [  1] Services from file:/C:/Users/Windows/git/IMSProject/IMS/framework/testtools/servicedef/services.xml
2016-12-26 23:21:47,206 |OFBiz-config-1       |ModelServiceReader            |I| Loaded [  3] Services from file:/C:/Users/Windows/git/IMSProject/IMS/framework/bi/servicedef/services.xml
2016-12-26 23:21:47,211 |OFBiz-config-0       |ModelServiceReader            |I| Loaded [ 38] Services from file:/C:/Users/Windows/git/IMSProject/IMS/framework/common/servicedef/services_test.xml
2016-12-26 23:21:47,236 |OFBiz-config-2       |ModelServiceReader            |I| Loaded [ 10] Services from file:/C:/Users/Windows/git/IMSProject/IMS/framework/webtools/servicedef/services.xml
2016-12-26 23:21:47,269 |OFBiz-config-0       |ModelServiceReader            |I| Loaded [  1] Services from file:/C:/Users/Windows/git/IMSProject/IMS/applications/securityext/servicedef/services.xml
2016-12-26 23:21:47,303 |OFBiz-config-1       |ModelServiceReader            |I| Loaded [ 12] Services from file:/C:/Users/Windows/git/IMSProject/IMS/applications/party/servicedef/services_view.xml
2016-12-26 23:21:47,350 |OFBiz-config-0       |ModelServiceReader            |I| Loaded [ 25] Services from file:/C:/Users/Windows/git/IMSProject/IMS/applications/content/servicedef/services_content.xml
2016-12-26 23:21:47,418 |OFBiz-config-0       |ModelServiceReader            |I| Loaded [ 28] Services from file:/C:/Users/Windows/git/IMSProject/IMS/applications/content/servicedef/services_data.xml
2016-12-26 23:21:47,462 |OFBiz-config-1       |ModelServiceReader            |I| Loaded [ 35] Services from file:/C:/Users/Windows/git/IMSProject/IMS/applications/content/servicedef/services_contenttypes.xml
2016-12-26 23:21:47,474 |OFBiz-config-2       |ModelServiceReader            |I| Loaded [125] Services from file:/C:/Users/Windows/git/IMSProject/IMS/applications/content/servicedef/services.xml
2016-12-26 23:21:47,488 |OFBiz-config-0       |ModelServiceReader            |I| Loaded [  2] Services from file:/C:/Users/Windows/git/IMSProject/IMS/applications/content/servicedef/services_output.xml
2016-12-26 23:21:47,506 |OFBiz-config-3       |ModelServiceReader            |I| Loaded [156] Services from file:/C:/Users/Windows/git/IMSProject/IMS/applications/party/servicedef/services.xml
2016-12-26 23:21:47,510 |OFBiz-config-0       |ModelServiceReader            |I| Loaded [ 19] Services from file:/C:/Users/Windows/git/IMSProject/IMS/applications/content/servicedef/services_website.xml
2016-12-26 23:21:47,540 |OFBiz-config-3       |ModelServiceReader            |I| Loaded [ 17] Services from file:/C:/Users/Windows/git/IMSProject/IMS/applications/workeffort/servicedef/services_timesheet.xml
2016-12-26 23:21:47,548 |OFBiz-config-2       |ModelServiceReader            |I| Loaded [  5] Services from file:/C:/Users/Windows/git/IMSProject/IMS/applications/content/servicedef/services_commevent.xml
2016-12-26 23:21:47,560 |OFBiz-config-1       |ModelServiceReader            |I| Loaded [ 42] Services from file:/C:/Users/Windows/git/IMSProject/IMS/applications/content/servicedef/services_survey.xml
2016-12-26 23:21:47,625 |OFBiz-config-3       |ModelServiceReader            |I| Loaded [  1] Services from file:/C:/Users/Windows/git/IMSProject/IMS/applications/workeffort/servicedef/services_upgrade.xml
2016-12-26 23:21:47,702 |OFBiz-config-3       |ModelServiceReader            |I| Loaded [ 30] Services from file:/C:/Users/Windows/git/IMSProject/IMS/applications/product/servicedef/services_feature.xml
2016-12-26 23:21:47,706 |OFBiz-config-0       |ModelServiceReader            |I| Loaded [ 99] Services from file:/C:/Users/Windows/git/IMSProject/IMS/applications/workeffort/servicedef/services.xml
2016-12-26 23:21:47,759 |OFBiz-config-1       |ModelServiceReader            |I| Loaded [107] Services from file:/C:/Users/Windows/git/IMSProject/IMS/applications/product/servicedef/services_facility.xml
2016-12-26 23:21:47,764 |OFBiz-config-3       |ModelServiceReader            |I| Loaded [ 22] Services from file:/C:/Users/Windows/git/IMSProject/IMS/applications/product/servicedef/services_maint.xml
