2016-10-23 00:00:30,506 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Replacement Held Order Auto-Cancel] Id [11202] -- Next runtime: Mon Oct 24 00:00:00 IST 2016
2016-10-23 00:00:31,557 |OFBiz-JobQueue-1     |GenericDAO                    |T| Ran query in 1044 milli-seconds:  EntityName: ReturnHeader Sql: SELECT RETURN_ID, RETURN_HEADER_TYPE_ID, STATUS_ID, CREATED_BY, FROM_PARTY_ID, TO_PARTY_ID, PAYMENT_METHOD_ID, FIN_ACCOUNT_ID, BILLING_ACCOUNT_ID, ENTRY_DATE, ORIGIN_CONTACT_MECH_ID, DESTINATION_FACILITY_ID, NEEDS_INVENTORY_RECEIVE, CURRENCY_UOM_ID, SUPPLIER_RMA_ID, LAST_UPDATED_STAMP, LAST_UPDATED_TX_STAMP, CREATED_STAMP, CREATED_TX_STAMP FROM public.RETURN_HEADER WHERE ((STATUS_ID = ? AND RETURN_HEADER_TYPE_ID = ?)) ORDER BY ENTRY_DATE ASC where clause:[STATUS_ID=RETURN_ACCEPTED, RETURN_HEADER_TYPE_ID=CUSTOMER_RETURN]
2016-10-23 00:00:31,560 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/autoCancelReplacementOrders] finished in [1052] milliseconds
2016-10-23 00:00:32,141 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Purge Old Store Auto-Entered Promos] Id [11203] -- Next runtime: Mon Oct 24 00:00:00 IST 2016
2016-10-23 00:00:32,736 |OFBiz-JobQueue-1     |GenericDAO                    |T| Ran query in 582 milli-seconds:  EntityName: ProductStorePromoAndAppl Sql: SELECT PP.PROMO_NAME, PP.USER_ENTERED, PSPA.FROM_DATE, PSPA.SEQUENCE_NUM, PSPA.MANUAL_ONLY, PSPA.PRODUCT_STORE_ID, PSPA.PRODUCT_PROMO_ID, PSPA.THRU_DATE FROM public.PRODUCT_STORE_PROMO_APPL PSPA INNER JOIN public.PRODUCT_PROMO PP ON PSPA.PRODUCT_PROMO_ID = PP.PRODUCT_PROMO_ID WHERE ((PSPA.PRODUCT_STORE_ID IS NULL AND PP.USER_ENTERED = ? AND PSPA.THRU_DATE IS NOT NULL AND PSPA.THRU_DATE < ?)) where clause:[PP_USER_ENTERED=Y, PSPA_THRU_DATE=2016-10-23 00:00:32.144]
2016-10-23 00:00:32,742 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/purgeOldStoreAutoPromos] finished in [599] milliseconds
2016-10-23 00:00:32,767 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Clear EntitySyncRemove Info] Id [11204] -- Next runtime: Mon Oct 24 00:00:00 IST 2016
2016-10-23 00:00:32,770 |OFBiz-JobQueue-1     |EntitySyncServices            |I| Running cleanSyncRemoveInfo
2016-10-23 00:00:32,772 |OFBiz-JobQueue-0     |GenericDAO                    |T| Ran query in 285 milli-seconds:  EntityName: GlReconciliation Sql: SELECT GL_RECONCILIATION_ID, GL_RECONCILIATION_NAME, DESCRIPTION, CREATED_DATE, CREATED_BY_USER_LOGIN, LAST_MODIFIED_DATE, LAST_MODIFIED_BY_USER_LOGIN, GL_ACCOUNT_ID, STATUS_ID, ORGANIZATION_PARTY_ID, RECONCILED_BALANCE, OPENING_BALANCE, RECONCILED_DATE, LAST_UPDATED_STAMP, LAST_UPDATED_TX_STAMP, CREATED_STAMP, CREATED_TX_STAMP FROM public.GL_RECONCILIATION WHERE ((RECONCILED_DATE >= ? AND RECONCILED_DATE <= ? AND STATUS_ID = ?)) where clause:[RECONCILED_DATE=2016-10-23 00:00:00.0, RECONCILED_DATE=2016-10-23 23:59:59.0, STATUS_ID=GLREC_CREATED]
2016-10-23 00:00:32,999 |OFBiz-JobQueue-1     |GenericDAO                    |T| Ran query in 227 milli-seconds:  EntityName: EntitySync Sql: SELECT ENTITY_SYNC_ID, RUN_STATUS_ID, LAST_SUCCESSFUL_SYNCH_TIME, LAST_HISTORY_START_DATE, PRE_OFFLINE_SYNCH_TIME, OFFLINE_SYNC_SPLIT_MILLIS, SYNC_SPLIT_MILLIS, SYNC_END_BUFFER_MILLIS, MAX_RUNNING_NO_UPDATE_MILLIS, TARGET_SERVICE_NAME, TARGET_DELEGATOR_NAME, KEEP_REMOVE_INFO_HOURS, FOR_PULL_ONLY, FOR_PUSH_ONLY, LAST_UPDATED_STAMP, LAST_UPDATED_TX_STAMP, CREATED_STAMP, CREATED_TX_STAMP FROM public.ENTITY_SYNC where clause:[]
