2016-12-28 00:00:05,184 |OFBiz-JobQueue-1     |PaymentGatewayServices        |I| Processing failed order re-auth(s)
2016-12-28 00:00:05,186 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/retryFailedAuthNsfs] finished in [601] milliseconds
2016-12-28 00:00:05,186 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/retryFailedAuths] finished in [195] milliseconds
2016-12-28 00:00:05,259 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Run Auto-Reorders] Id [10027] -- Next runtime: Thu Dec 29 00:00:00 IST 2016
2016-12-28 00:00:05,259 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Extend expired Subscriptions] Id [10026] -- Next runtime: Thu Dec 29 00:00:00 IST 2016
2016-12-28 00:00:05,291 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/runShoppingListAutoReorder] finished in [31] milliseconds
2016-12-28 00:00:05,337 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Cancels all orders after date] Id [10028] -- Next runtime: Thu Dec 29 00:00:00 IST 2016
2016-12-28 00:00:05,820 |OFBiz-JobQueue-0     |GenericDAO                    |T| Ran query in 557 milli-seconds:  EntityName: Subscription Sql: SELECT SUBSCRIPTION_ID, DESCRIPTION, SUBSCRIPTION_RESOURCE_ID, COMMUNICATION_EVENT_ID, CONTACT_MECH_ID, ORIGINATED_FROM_PARTY_ID, ORIGINATED_FROM_ROLE_TYPE_ID, PARTY_ID, ROLE_TYPE_ID, PARTY_NEED_ID, NEED_TYPE_ID, ORDER_ID, ORDER_ITEM_SEQ_ID, PRODUCT_ID, PRODUCT_CATEGORY_ID, INVENTORY_ITEM_ID, SUBSCRIPTION_TYPE_ID, EXTERNAL_SUBSCRIPTION_ID, FROM_DATE, THRU_DATE, PURCHASE_FROM_DATE, PURCHASE_THRU_DATE, MAX_LIFE_TIME, MAX_LIFE_TIME_UOM_ID, AVAILABLE_TIME, AVAILABLE_TIME_UOM_ID, USE_COUNT_LIMIT, USE_TIME, USE_TIME_UOM_ID, AUTOMATIC_EXTEND, CANCL_AUTM_EXT_TIME, CANCL_AUTM_EXT_TIME_UOM_ID, LAST_UPDATED_STAMP, LAST_UPDATED_TX_STAMP, CREATED_STAMP, CREATED_TX_STAMP FROM public.SUBSCRIPTION WHERE ((AUTOMATIC_EXTEND = ? AND ORDER_ID IS NOT NULL AND PRODUCT_ID IS NOT NULL)) where clause:[AUTOMATIC_EXTEND=Y]
2016-12-28 00:00:06,291 |OFBiz-JobQueue-0     |UtilProperties                |I| ResourceBundle OrderUiLabels (en) created in 0.469s with 970 properties
2016-12-28 00:00:06,293 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/runSubscriptionAutoReorders] finished in [1034] milliseconds
2016-12-28 00:00:06,529 |OFBiz-JobQueue-1     |GenericDAO                    |T| Ran query in 1035 milli-seconds:  EntityName: OrderItem Sql: SELECT ORDER_ID, ORDER_ITEM_SEQ_ID, EXTERNAL_ID, ORDER_ITEM_TYPE_ID, ORDER_ITEM_GROUP_SEQ_ID, IS_ITEM_GROUP_PRIMARY, FROM_INVENTORY_ITEM_ID, BUDGET_ID, BUDGET_ITEM_SEQ_ID, PRODUCT_ID, SUPPLIER_PRODUCT_ID, PRODUCT_FEATURE_ID, PROD_CATALOG_ID, PRODUCT_CATEGORY_ID, IS_PROMO, QUOTE_ID, QUOTE_ITEM_SEQ_ID, SHOPPING_LIST_ID, SHOPPING_LIST_ITEM_SEQ_ID, SUBSCRIPTION_ID, DEPLOYMENT_ID, QUANTITY, CANCEL_QUANTITY, SELECTED_AMOUNT, UNIT_PRICE, UNIT_LIST_PRICE, UNIT_AVERAGE_COST, UNIT_RECURRING_PRICE, IS_MODIFIED_PRICE, RECURRING_FREQ_UOM_ID, ITEM_DESCRIPTION, COMMENTS, CORRESPONDING_PO_ID, STATUS_ID, SYNC_STATUS_ID, ESTIMATED_SHIP_DATE, ESTIMATED_DELIVERY_DATE, AUTO_CANCEL_DATE, DONT_CANCEL_SET_DATE, DONT_CANCEL_SET_USER_LOGIN, SHIP_BEFORE_DATE, SHIP_AFTER_DATE, CANCEL_BACK_ORDER_DATE, OVERRIDE_GL_ACCOUNT_ID, SALES_OPPORTUNITY_ID, CHANGE_BY_USER_LOGIN_ID, LAST_UPDATED_STAMP, LAST_UPDATED_TX_STAMP, CREATED_STAMP, CREATED_TX_STAMP FROM public.ORDER_ITEM WHERE ((ORDER_ID = ?)) where clause:[ORDER_ID=DEMO10091]
2016-12-28 00:00:06,535 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/cancelAllBackOrders] finished in [1198] milliseconds
2016-12-28 00:14:08,293 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Send Email] Id [10105] -- Next runtime: Wed Dec 28 00:29:08 IST 2016
2016-12-28 00:14:08,579 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/sendEmailDated] finished in [285] milliseconds
2016-12-28 00:29:08,775 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Send Email] Id [10118] -- Next runtime: Wed Dec 28 00:44:08 IST 2016
2016-12-28 00:29:09,010 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/sendEmailDated] finished in [224] milliseconds
2016-12-28 00:44:09,440 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Send Email] Id [10119] -- Next runtime: Wed Dec 28 00:59:09 IST 2016
2016-12-28 00:44:09,599 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/sendEmailDated] finished in [157] milliseconds
