2016-10-13 00:00:08,394 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/retryFailedAuthNsfs] finished in [10] milliseconds
2016-10-13 00:00:08,423 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Run Auto-Reorders] Id [11010] -- Next runtime: Fri Oct 14 00:00:00 IST 2016
2016-10-13 00:00:08,440 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/runShoppingListAutoReorder] finished in [15] milliseconds
2016-10-13 00:00:08,596 |OFBiz-JobQueue-0     |PersistedServiceJob           |W| Persisted Job [10911] references a RecurrenceInfo, recommend using TemporalExpression instead
2016-10-13 00:00:08,675 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Auto Reconcile Financial Account] Id [10911] -- Next runtime: Tue Oct 18 00:00:00 IST 2016
2016-10-13 00:00:12,705 |OFBiz-JobQueue-0     |GenericDAO                    |T| Ran query in 189 milli-seconds:  EntityName: GlReconciliation Sql: SELECT GL_RECONCILIATION_ID, GL_RECONCILIATION_NAME, DESCRIPTION, CREATED_DATE, CREATED_BY_USER_LOGIN, LAST_MODIFIED_DATE, LAST_MODIFIED_BY_USER_LOGIN, GL_ACCOUNT_ID, STATUS_ID, ORGANIZATION_PARTY_ID, RECONCILED_BALANCE, OPENING_BALANCE, RECONCILED_DATE, LAST_UPDATED_STAMP, LAST_UPDATED_TX_STAMP, CREATED_STAMP, CREATED_TX_STAMP FROM public.GL_RECONCILIATION WHERE ((RECONCILED_DATE >= ? AND RECONCILED_DATE <= ? AND STATUS_ID = ?)) where clause:[RECONCILED_DATE=2016-10-13 00:00:00.0, RECONCILED_DATE=2016-10-13 23:59:59.0, STATUS_ID=GLREC_CREATED]
2016-10-13 00:00:13,346 |OFBiz-JobQueue-0     |GenericDAO                    |T| Ran query in 378 milli-seconds:  EntityName: FinAccountTrans Sql: SELECT FIN_ACCOUNT_TRANS_ID, FIN_ACCOUNT_TRANS_TYPE_ID, FIN_ACCOUNT_ID, PARTY_ID, GL_RECONCILIATION_ID, TRANSACTION_DATE, ENTRY_DATE, AMOUNT, PAYMENT_ID, ORDER_ID, ORDER_ITEM_SEQ_ID, PERFORMED_BY_PARTY_ID, REASON_ENUM_ID, COMMENTS, STATUS_ID, LAST_UPDATED_STAMP, LAST_UPDATED_TX_STAMP, CREATED_STAMP, CREATED_TX_STAMP FROM public.FIN_ACCOUNT_TRANS WHERE (1=0) where clause:[]
2016-10-13 00:00:13,350 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/autoFinAccountReconciliation] finished in [4674] milliseconds
2016-10-13 00:03:04,204 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Send Email] Id [11100] -- Next runtime: Thu Oct 13 00:18:04 IST 2016
2016-10-13 00:03:04,720 |OFBiz-JobQueue-1     |GenericDAO                    |T| Ran query in 354 milli-seconds:  EntityName: CommunicationEvent Sql: SELECT COMMUNICATION_EVENT_ID, COMMUNICATION_EVENT_TYPE_ID, ORIG_COMM_EVENT_ID, PARENT_COMM_EVENT_ID, STATUS_ID, CONTACT_MECH_TYPE_ID, CONTACT_MECH_ID_FROM, CONTACT_MECH_ID_TO, ROLE_TYPE_ID_FROM, ROLE_TYPE_ID_TO, PARTY_ID_FROM, PARTY_ID_TO, ENTRY_DATE, DATETIME_STARTED, DATETIME_ENDED, SUBJECT, CONTENT_MIME_TYPE_ID, CONTENT, NOTE, REASON_ENUM_ID, CONTACT_LIST_ID, HEADER_STRING, FROM_STRING, TO_STRING, CC_STRING, BCC_STRING, MESSAGE_ID, LAST_UPDATED_STAMP, LAST_UPDATED_TX_STAMP, CREATED_STAMP, CREATED_TX_STAMP FROM public.COMMUNICATION_EVENT WHERE (((COMMUNICATION_EVENT_TYPE_ID = ? OR COMMUNICATION_EVENT_TYPE_ID = ?) AND STATUS_ID = ? AND (DATETIME_STARTED < ? OR DATETIME_STARTED IS NULL))) where clause:[COMMUNICATION_EVENT_TYPE_ID=EMAIL_COMMUNICATION, COMMUNICATION_EVENT_TYPE_ID=AUTO_EMAIL_COMM, STATUS_ID=COM_IN_PROGRESS, DATETIME_STARTED=2016-10-13 00:03:04.363]
2016-10-13 00:03:04,728 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/sendEmailDated] finished in [523] milliseconds
2016-10-13 00:18:04,619 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Send Email] Id [11113] -- Next runtime: Thu Oct 13 00:33:04 IST 2016
2016-10-13 00:18:04,941 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/sendEmailDated] finished in [308] milliseconds
