2016-12-27 00:00:10,036 |OFBiz-JobQueue-1     |GenericDAO                    |T| Ran query in 608 milli-seconds:  EntityName: OrderItem Sql: SELECT ORDER_ID, ORDER_ITEM_SEQ_ID, EXTERNAL_ID, ORDER_ITEM_TYPE_ID, ORDER_ITEM_GROUP_SEQ_ID, IS_ITEM_GROUP_PRIMARY, FROM_INVENTORY_ITEM_ID, BUDGET_ID, BUDGET_ITEM_SEQ_ID, PRODUCT_ID, SUPPLIER_PRODUCT_ID, PRODUCT_FEATURE_ID, PROD_CATALOG_ID, PRODUCT_CATEGORY_ID, IS_PROMO, QUOTE_ID, QUOTE_ITEM_SEQ_ID, SHOPPING_LIST_ID, SHOPPING_LIST_ITEM_SEQ_ID, SUBSCRIPTION_ID, DEPLOYMENT_ID, QUANTITY, CANCEL_QUANTITY, SELECTED_AMOUNT, UNIT_PRICE, UNIT_LIST_PRICE, UNIT_AVERAGE_COST, UNIT_RECURRING_PRICE, IS_MODIFIED_PRICE, RECURRING_FREQ_UOM_ID, ITEM_DESCRIPTION, COMMENTS, CORRESPONDING_PO_ID, STATUS_ID, SYNC_STATUS_ID, ESTIMATED_SHIP_DATE, ESTIMATED_DELIVERY_DATE, AUTO_CANCEL_DATE, DONT_CANCEL_SET_DATE, DONT_CANCEL_SET_USER_LOGIN, SHIP_BEFORE_DATE, SHIP_AFTER_DATE, CANCEL_BACK_ORDER_DATE, OVERRIDE_GL_ACCOUNT_ID, SALES_OPPORTUNITY_ID, CHANGE_BY_USER_LOGIN_ID, LAST_UPDATED_STAMP, LAST_UPDATED_TX_STAMP, CREATED_STAMP, CREATED_TX_STAMP FROM public.ORDER_ITEM WHERE ((ORDER_ID = ?)) where clause:[ORDER_ID=DEMO10091]
2016-12-27 00:00:10,039 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/cancelAllBackOrders] finished in [908] milliseconds
2016-12-27 00:09:25,094 |-0.0.0.0-8443-exec-6 |ControlServlet                |T| [[[feeMaster(Domain:https://localhost)] Request Begun, encoding=[UTF-8]- total:0.0,since last(Begin):0.0]]
2016-12-27 00:09:25,211 |-0.0.0.0-8443-exec-6 |UtilXml                       |E| XmlFileLoader: File jndi:/0.0.0.0/imscenter/WEB-INF/controller.xml process error. Line: 53. Error message: cvc-complex-type.2.3: Element 'request-map' cannot have character [children], because the type's content type is element-only.
2016-12-27 00:09:25,211 |-0.0.0.0-8443-exec-6 |UtilXml                       |E| XmlFileLoader: File jndi:/0.0.0.0/imscenter/WEB-INF/controller.xml process error. Line: 60. Error message: cvc-complex-type.2.3: Element 'request-map' cannot have character [children], because the type's content type is element-only.
2016-12-27 00:09:25,217 |-0.0.0.0-8443-exec-6 |ConfigXMLReader               |I| controller loaded: 0.003s, 12 requests, 9 views in jndi:/0.0.0.0/imscenter/WEB-INF/controller.xml
2016-12-27 00:09:25,322 |-0.0.0.0-8443-exec-6 |ConfigXMLReader               |I| controller loaded: 0.004s, 39 requests, 19 views in file:/C:/Users/Windows/git/IMSProject/IMS/framework/common/webcommon/WEB-INF/common-controller.xml
2016-12-27 00:09:25,400 |-0.0.0.0-8443-exec-6 |ConfigXMLReader               |I| controller loaded: 0.0s, 0 requests, 0 views in file:/C:/Users/Windows/git/IMSProject/IMS/framework/common/webcommon/WEB-INF/handlers-controller.xml
2016-12-27 00:09:25,864 |-0.0.0.0-8443-exec-6 |RequestHandler                |I| Rendering View [feeMaster], sessionId=E0F7026D35A0CB3B94E0EE774711007D.jvm1
2016-12-27 00:09:26,831 |-0.0.0.0-8443-exec-6 |ServiceDispatcher             |T| Sync service [imscenter/getUserPreferenceGroup] finished in [6] milliseconds
2016-12-27 00:09:26,960 |-0.0.0.0-8443-exec-6 |ScreenFactory                 |I| Got 9 screens in 0.124s from: file:/C:/Users/Windows/git/IMSProject/IMS/applications/imscenter/widget/imsCenterScreens.xml
2016-12-27 00:09:27,002 |-0.0.0.0-8443-exec-6 |ScreenFactory                 |I| Got 2 screens in 0.038s from: file:/C:/Users/Windows/git/IMSProject/IMS/applications/imscenter/widget/CommonScreens.xml
2016-12-27 00:09:27,168 |-0.0.0.0-8443-exec-6 |ScreenFactory                 |I| Got 24 screens in 0.158s from: file:/C:/Users/Windows/git/IMSProject/IMS/framework/common/widget/CommonScreens.xml
2016-12-27 00:09:27,310 |-0.0.0.0-8443-exec-6 |ServiceDispatcher             |T| Sync service [imscenter/getVisualThemeResources] finished in [116] milliseconds
2016-12-27 00:09:28,501 |-0.0.0.0-8443-exec-6 |TransactionUtil               |W| No transaction in place, so not suspending.
2016-12-27 00:09:28,621 |-0.0.0.0-8443-exec-6 |SequenceUtil                  |W| Lock failed; no sequence row was found, will try to add a new one for sequence: ServerHitBin
2016-12-27 00:09:28,629 |-0.0.0.0-8443-exec-6 |SequenceUtil                  |I| Got bank of sequenced IDs for [ServerHitBin]; curSeqId=10000, maxSeqId=10010, bankSize=10
2016-12-27 00:09:29,540 |-0.0.0.0-8443-exec-6 |ServerHitBin                  |I| Visit delegatorName=default, ServerHitBin delegatorName=default
2016-12-27 00:09:30,105 |-0.0.0.0-8443-exec-6 |ControlServlet                |T| [[[feeMaster(Domain:https://localhost)] Request Done- total:5.011,since last([feeMaster(Domain...):5.011]]
2016-12-27 00:09:59,739 |0.0.0.0-8443-exec-16 |ControlServlet                |T| [[[feeMaster(Domain:https://localhost)] Request Begun, encoding=[UTF-8]- total:0.0,since last(Begin):0.0]]
2016-12-27 00:09:59,757 |0.0.0.0-8443-exec-16 |UtilXml                       |E| XmlFileLoader: File jndi:/0.0.0.0/imscenter/WEB-INF/controller.xml process error. Line: 53. Error message: cvc-complex-type.2.3: Element 'request-map' cannot have character [children], because the type's content type is element-only.
2016-12-27 00:09:59,758 |0.0.0.0-8443-exec-16 |UtilXml                       |E| XmlFileLoader: File jndi:/0.0.0.0/imscenter/WEB-INF/controller.xml process error. Line: 60. Error message: cvc-complex-type.2.3: Element 'request-map' cannot have character [children], because the type's content type is element-only.
2016-12-27 00:09:59,761 |0.0.0.0-8443-exec-16 |ConfigXMLReader               |I| controller loaded: 0.001s, 12 requests, 9 views in jndi:/0.0.0.0/imscenter/WEB-INF/controller.xml
2016-12-27 00:09:59,794 |0.0.0.0-8443-exec-16 |ConfigXMLReader               |I| controller loaded: 0.007s, 39 requests, 19 views in file:/C:/Users/Windows/git/IMSProject/IMS/framework/common/webcommon/WEB-INF/common-controller.xml
2016-12-27 00:09:59,812 |0.0.0.0-8443-exec-16 |ConfigXMLReader               |I| controller loaded: 0.0s, 0 requests, 0 views in file:/C:/Users/Windows/git/IMSProject/IMS/framework/common/webcommon/WEB-INF/handlers-controller.xml
2016-12-27 00:09:59,860 |0.0.0.0-8443-exec-16 |RequestHandler                |I| Rendering View [feeMaster], sessionId=E0F7026D35A0CB3B94E0EE774711007D.jvm1
2016-12-27 00:10:00,217 |0.0.0.0-8443-exec-16 |ServiceDispatcher             |T| Sync service [imscenter/getUserPreferenceGroup] finished in [4] milliseconds
2016-12-27 00:10:00,249 |0.0.0.0-8443-exec-16 |ScreenFactory                 |I| Got 9 screens in 0.026s from: file:/C:/Users/Windows/git/IMSProject/IMS/applications/imscenter/widget/imsCenterScreens.xml
2016-12-27 00:10:00,270 |0.0.0.0-8443-exec-16 |ScreenFactory                 |I| Got 2 screens in 0.019s from: file:/C:/Users/Windows/git/IMSProject/IMS/applications/imscenter/widget/CommonScreens.xml
2016-12-27 00:10:00,324 |0.0.0.0-8443-exec-16 |ScreenFactory                 |I| Got 24 screens in 0.049s from: file:/C:/Users/Windows/git/IMSProject/IMS/framework/common/widget/CommonScreens.xml
2016-12-27 00:10:00,432 |0.0.0.0-8443-exec-16 |ServiceDispatcher             |T| Sync service [imscenter/getVisualThemeResources] finished in [98] milliseconds
2016-12-27 00:10:01,221 |0.0.0.0-8443-exec-16 |ServerHitBin                  |I| Visit delegatorName=default, ServerHitBin delegatorName=default
2016-12-27 00:10:01,236 |0.0.0.0-8443-exec-16 |ControlServlet                |T| [[[feeMaster(Domain:https://localhost)] Request Done- total:1.497,since last([feeMaster(Domain...):1.497]]
2016-12-27 00:10:04,698 |0.0.0.0-8443-exec-16 |ControlServlet                |T| [[[newFeeMaster(Domain:https://localhost)] Request Begun, encoding=[UTF-8]- total:0.0,since last(Begin):0.0]]
2016-12-27 00:10:04,739 |0.0.0.0-8443-exec-16 |RequestHandler                |I| Rendering View [newFeeMaster], sessionId=E0F7026D35A0CB3B94E0EE774711007D.jvm1
2016-12-27 00:10:04,745 |0.0.0.0-8443-exec-16 |ServiceDispatcher             |T| Sync service [imscenter/getUserPreferenceGroup] finished in [2] milliseconds
2016-12-27 00:10:04,800 |0.0.0.0-8443-exec-16 |ServiceDispatcher             |T| Sync service [imscenter/getVisualThemeResources] finished in [30] milliseconds
2016-12-27 00:10:05,276 |0.0.0.0-8443-exec-16 |ServerHitBin                  |I| Visit delegatorName=default, ServerHitBin delegatorName=default
2016-12-27 00:10:05,285 |0.0.0.0-8443-exec-16 |ControlServlet                |T| [[[newFeeMaster(Domain:https://localhost)] Request Done- total:0.587,since last([newFeeMaster(Dom...):0.587]]
2016-12-27 00:14:07,325 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Send Email] Id [10016] -- Next runtime: Tue Dec 27 00:29:07 IST 2016
2016-12-27 00:14:07,529 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/sendEmailDated] finished in [202] milliseconds
2016-12-27 22:58:14,920 |main                 |ContainerLoader               |I| [Startup] Loading containers from C:/Users/Windows/git/IMSProject/IMS/framework/base/config/ofbiz-containers.xml for loaders {main}
2016-12-27 22:58:16,322 |main                 |ContainerLoader               |I| Loading container: component-container
2016-12-27 22:58:16,454 |main                 |ComponentContainer            |I| Auto-Loading component directory : [C:/Users/Windows/git/IMSProject/IMS/framework]
2016-12-27 22:58:16,728 |main                 |ComponentContainer            |I| Loading component : [base]
2016-12-27 22:58:16,922 |main                 |ComponentContainer            |I| Loading component : [geronimo]
2016-12-27 22:58:17,052 |main                 |ComponentContainer            |I| Loading component : [sql]
2016-12-27 22:58:17,186 |main                 |ComponentContainer            |I| Loading component : [entity]
2016-12-27 22:58:17,322 |main                 |ComponentContainer            |I| Loading component : [security]
2016-12-27 22:58:17,428 |main                 |ComponentContainer            |I| Loading component : [datafile]
2016-12-27 22:58:17,548 |main                 |ComponentContainer            |I| Loading component : [minilang]
2016-12-27 22:58:17,680 |main                 |ComponentContainer            |I| Loading component : [common]
2016-12-27 22:58:17,775 |main                 |ComponentContainer            |I| Loading component : [service]
2016-12-27 22:58:17,969 |main                 |ComponentContainer            |I| Loading component : [catalina]
2016-12-27 22:58:18,069 |main                 |ComponentContainer            |I| Loading component : [entityext]
2016-12-27 22:58:18,134 |main                 |ComponentContainer            |I| Loading component : [bi]
2016-12-27 22:58:18,238 |main                 |ComponentContainer            |I| Loading component : [webapp]
2016-12-27 22:58:18,304 |main                 |ComponentContainer            |I| Loading component : [widget]
2016-12-27 22:58:18,371 |main                 |ComponentContainer            |I| Loading component : [testtools]
2016-12-27 22:58:18,473 |main                 |ComponentContainer            |I| Loading component : [webtools]
2016-12-27 22:58:18,552 |main                 |ComponentContainer            |I| Loading component : [images]
2016-12-27 22:58:18,555 |main                 |ComponentContainer            |I| Auto-Loading component directory : [C:/Users/Windows/git/IMSProject/IMS/themes]
2016-12-27 22:58:18,626 |main                 |ComponentContainer            |I| Loading component : [flatgrey]
2016-12-27 22:58:18,683 |main                 |ComponentContainer            |I| Loading component : [tomahawk]
2016-12-27 22:58:18,685 |main                 |ComponentContainer            |I| Auto-Loading component directory : [C:/Users/Windows/git/IMSProject/IMS/applications]
2016-12-27 22:58:18,786 |main                 |ComponentContainer            |I| Loading component : [party]
2016-12-27 22:58:18,877 |main                 |ComponentContainer            |I| Loading component : [securityext]
2016-12-27 22:58:18,915 |main                 |ComponentContainer            |I| Loading component : [content]
2016-12-27 22:58:18,983 |main                 |ComponentContainer            |I| Loading component : [workeffort]
2016-12-27 22:58:19,041 |main                 |ComponentContainer            |I| Loading component : [product]
2016-12-27 22:58:19,100 |main                 |ComponentContainer            |I| Loading component : [manufacturing]
2016-12-27 22:58:19,156 |main                 |ComponentContainer            |I| Loading component : [accounting]
2016-12-27 22:58:19,162 |main                 |ComponentContainer            |W| Location 'C:/Users/Windows/git/IMSProject/IMS/applications/accounting/lib/securepay' does not exist
2016-12-27 22:58:19,163 |main                 |ComponentContainer            |W| Location 'C:/Users/Windows/git/IMSProject/IMS/applications/accounting/lib/cybersource' does not exist
2016-12-27 22:58:19,164 |main                 |ComponentContainer            |W| Location 'C:/Users/Windows/git/IMSProject/IMS/applications/accounting/lib/worldpay' does not exist
2016-12-27 22:58:19,165 |main                 |ComponentContainer            |W| Location 'C:/Users/Windows/git/IMSProject/IMS/applications/accounting/lib/worldpay' does not exist
2016-12-27 22:58:19,217 |main                 |ComponentContainer            |I| Loading component : [humanres]
2016-12-27 22:58:19,261 |main                 |ComponentContainer            |I| Loading component : [order]
2016-12-27 22:58:19,314 |main                 |ComponentContainer            |I| Loading component : [marketing]
2016-12-27 22:58:19,363 |main                 |ComponentContainer            |I| Loading component : [imscenter]
2016-12-27 22:58:19,399 |main                 |ComponentContainer            |I| Loading component : [commonext]
2016-12-27 22:58:19,402 |main                 |ComponentContainer            |I| Auto-Loading component directory : [C:/Users/Windows/git/IMSProject/IMS/specialpurpose]
2016-12-27 22:58:19,467 |main                 |ComponentContainer            |I| Loading component : [ecommerce]
2016-12-27 22:58:19,472 |main                 |ComponentContainer            |I| Auto-Loading component directory : [C:/Users/Windows/git/IMSProject/IMS/hot-deploy]
2016-12-27 22:58:19,500 |main                 |ComponentContainer            |I| All components loaded
2016-12-27 22:58:19,500 |main                 |ContainerLoader               |I| Loaded container: component-container
2016-12-27 22:58:19,507 |main                 |ContainerLoader               |I| Loading component's container: classloader-container
2016-12-27 22:58:23,304 |main                 |ClassLoaderContainer          |I| CachedClassLoader created
2016-12-27 22:58:23,304 |main                 |ContainerLoader               |I| Loaded component's container: classloader-container
2016-12-27 22:58:23,304 |main                 |ContainerLoader               |I| Loading component's container: service-container
2016-12-27 22:58:23,332 |main                 |ContainerLoader               |I| Loaded component's container: service-container
2016-12-27 22:58:23,333 |main                 |ContainerLoader               |I| Loading component's container: catalina-container
2016-12-27 22:58:23,458 |main                 |DelegatorFactoryImpl          |I| Creating new delegator [default] (main)
2016-12-27 22:58:28,461 |main                 |ModelViewEntity               |W| [OrderItemQuantityReportGroupByItem]: Conversion for complex-alias needs to be implemented for cache and in-memory eval stuff to work correctly, will not work for alias: quantityOrdered
2016-12-27 22:58:28,461 |main                 |ModelViewEntity               |W| [OrderItemQuantityReportGroupByItem]: Conversion for complex-alias needs to be implemented for cache and in-memory eval stuff to work correctly, will not work for alias: quantityOpen
2016-12-27 22:58:28,462 |main                 |ModelViewEntity               |W| [OrderItemQuantityReportGroupByProduct]: Conversion for complex-alias needs to be implemented for cache and in-memory eval stuff to work correctly, will not work for alias: quantityOrdered
